FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
1,SYLMAR,yes,111633.753407,340401352.149,SYLMAR,14535,17640,184,223,2021/01/30,46473236.2070313,41236.1373434651
2,GRANADA HILLS,yes,89564.6859031,426412801.094,GRANADA HILLS,5745,9873,137,235,2021/01/30,58185140.921875,33094.5021250802
3,PORTER RANCH,yes,73616.9513499,226737095.965,PORTER RANCH,2140,6013,23,65,2021/01/30,30931729.6757813,27183.5524625609
4,LAKEVIEW TERRACE,yes,75477.956189,144847138.594,LAKEVIEW TERRACE,2116,16112,30,228,2021/01/30,19758129.6328125,27863.4584488211
5,MISSION HILLS,yes,50728.5098497,106158634.444,MISSION HILLS,3848,15951,96,398,2021/01/30,14477571.9492188,18746.3950928824
6,ANGELES NATIONAL FOREST,yes,92240.8375421,145856538.549,ANGELES NATIONAL FOREST,5,12500,0,0,2021/01/30,19894525.0546875,34046.5440549342
7,PACOIMA,yes,72215.5334812,181870919.208,PACOIMA,15713,20412,153,199,2021/01/30,24801272.1914063,26664.9888381807
8,SUNLAND,yes,91881.137808,168360574.206,SUNLAND,1965,9629,44,216,2021/01/30,22957282.6445313,33901.600773012
9,CHATSWORTH,yes,74278.4198822,310138171.398,CHATSWORTH,3212,8667,59,159,2021/01/30,42283190.5546875,27415.3012513495
10,TUJUNGA,yes,56099.097745,136873621.908,TUJUNGA,2420,8702,48,173,2021/01/30,18659485.0546875,20722.331426223
11,SHADOW HILLS,yes,48326.5622887,85185771.7362,SHADOW HILLS,337,7587,2,45,2021/01/30,11613585.7851563,17838.5703244192
12,ARLETA,yes,42528.8580739,79945904.2866,ARLETA,6405,18635,78,227,2021/01/30,10895986.7304688,15707.8634049944
13,NORTHRIDGE,yes,82907.2060589,280972641.566,NORTHRIDGE,6659,9541,107,153,2021/01/30,38290669.09375,30597.0139644401
14,NORTH HILLS,yes,57890.3428321,146981261.478,NORTH HILLS,8401,13644,105,171,2021/01/30,20030909.9335938,21366.2873904249
15,SUN VALLEY,yes,139517.177079,417593172.73,SUN VALLEY,8451,16102,100,191,2021/01/30,56897661.8945313,51454.044427016
16,PANORAMA CITY,yes,52117.5448174,104541908.624,PANORAMA CITY,12254,16284,187,249,2021/01/30,14242533.3671875,19243.2366526058
17,WEST HILLS,yes,87892.3480073,268218694.393,WEST HILLS,2634,6496,77,190,2021/01/30,36529453.0898438,32428.5670044643
18,WINNETKA,yes,52165.9859327,122407957.695,WINNETKA,6045,11673,54,104,2021/01/30,16670879.8242188,19269.5931950549
19,CANOGA PARK,yes,51184.0984244,122881959.363,CANOGA PARK,8360,12805,116,178,2021/01/30,16734971.0351563,18904.4267318373
20,NORTH HOLLYWOOD,yes,101418.12208,329565691.001,NORTH HOLLYWOOD,18402,12153,234,155,2021/01/30,44861432.2070313,37427.5825178607
